to_act_card,opponent_card,to_act_coins,opponent_coins,phase,pending_action,pending_action_by,pending_block,pending_block_by,result,dtm,best_moves
Assassin,Duke,11,9,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Duke,11,10,ACTION,,,,,win,2,Coup
Assassin,Duke,11,11,ACTION,,,,,win,2,Coup
Assassin,Duke,11,12,ACTION,,,,,win,2,Coup
Captain,Assassin,0,0,ACTION,,,,,win,19,Income|Foreign Aid
Captain,Assassin,0,0,BLOCK,Foreign Aid,opponent,,,win,21,pass
Captain,Assassin,0,1,ACTION,,,,,win,20,Income
Captain,Assassin,0,2,ACTION,,,,,win,20,Income|Steal
Captain,Assassin,1,0,BLOCK,Foreign Aid,opponent,,,win,17,pass
Captain,Assassin,1,1,ACTION,,,,,win,16,Foreign Aid
Captain,Assassin,1,1,BLOCK,Foreign Aid,opponent,,,win,18,pass
Captain,Assassin,1,2,ACTION,,,,,win,16,Foreign Aid|Steal
Captain,Assassin,1,2,BLOCK,Foreign Aid,opponent,,,win,18,pass
Captain,Assassin,1,3,ACTION,,,,,win,17,Steal
Captain,Assassin,1,4,ACTION,,,,,win,17,Steal
Captain,Assassin,2,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,2,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,2,0,BLOCK,Foreign Aid,opponent,,,win,16,pass
Captain,Assassin,2,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,2,1,ACTION,,,,,win,15,Income
Captain,Assassin,2,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,2,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,2,1,BLOCK,Foreign Aid,opponent,,,win,18,pass
Captain,Assassin,2,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,2,2,ACTION,,,,,win,15,Income|Steal
Captain,Assassin,2,2,BLOCK,Foreign Aid,opponent,,,win,18,pass
Captain,Assassin,2,3,ACTION,,,,,win,17,Steal
Captain,Assassin,2,3,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,2,4,ACTION,,,,,win,17,Steal
Captain,Assassin,2,4,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,2,5,ACTION,,,,,loss,7,Steal
Captain,Assassin,2,6,ACTION,,,,,loss,7,Steal
Captain,Assassin,3,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,3,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,3,0,BLOCK,Foreign Aid,opponent,,,win,12,pass
Captain,Assassin,3,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,3,1,ACTION,,,,,win,11,Foreign Aid
Captain,Assassin,3,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,3,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,3,1,BLOCK,Foreign Aid,opponent,,,win,13,pass
Captain,Assassin,3,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,3,2,ACTION,,,,,win,11,Foreign Aid|Steal
Captain,Assassin,3,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,3,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,3,2,BLOCK,Foreign Aid,opponent,,,win,13,pass
Captain,Assassin,3,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,3,3,ACTION,,,,,win,12,Steal
Captain,Assassin,3,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,3,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,3,3,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,3,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,3,4,ACTION,,,,,win,12,Steal
Captain,Assassin,3,4,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,3,5,ACTION,,,,,loss,7,Steal
Captain,Assassin,3,5,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,3,6,ACTION,,,,,loss,7,Steal
Captain,Assassin,3,6,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,3,7,ACTION,,,,,loss,7,Steal
Captain,Assassin,3,8,ACTION,,,,,loss,7,Steal
Captain,Assassin,4,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,4,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,4,0,BLOCK,Foreign Aid,opponent,,,win,11,pass
Captain,Assassin,4,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,4,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,4,1,ACTION,,,,,win,10,Income
Captain,Assassin,4,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,4,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,4,1,BLOCK,Foreign Aid,opponent,,,win,13,pass
Captain,Assassin,4,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,4,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,4,2,ACTION,,,,,win,10,Income|Steal
Captain,Assassin,4,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,4,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,4,2,BLOCK,Foreign Aid,opponent,,,win,13,pass
Captain,Assassin,4,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,4,3,ACTION,,,,,win,12,Steal
Captain,Assassin,4,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,4,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,4,3,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,4,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,4,4,ACTION,,,,,win,12,Steal
Captain,Assassin,4,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,4,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,4,4,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,4,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,4,5,ACTION,,,,,loss,7,Steal
Captain,Assassin,4,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,4,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,4,5,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,4,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,4,6,ACTION,,,,,loss,7,Steal
Captain,Assassin,4,6,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,4,7,ACTION,,,,,loss,7,Steal
Captain,Assassin,4,7,BLOCK,Foreign Aid,opponent,,,loss,6,pass
Captain,Assassin,4,8,ACTION,,,,,loss,7,Steal
Captain,Assassin,4,8,BLOCK,Foreign Aid,opponent,,,loss,6,pass
Captain,Assassin,4,9,ACTION,,,,,loss,5,Steal
Captain,Assassin,4,10,ACTION,,,,,loss,5,Steal
Captain,Assassin,5,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,5,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,5,0,BLOCK,Foreign Aid,opponent,,,win,7,pass
Captain,Assassin,5,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,5,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,5,1,ACTION,,,,,win,6,Foreign Aid
Captain,Assassin,5,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,5,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,5,1,BLOCK,Foreign Aid,opponent,,,win,8,pass
Captain,Assassin,5,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,5,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,5,2,ACTION,,,,,win,6,Foreign Aid
Captain,Assassin,5,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,5,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,5,2,BLOCK,Foreign Aid,opponent,,,win,8,pass
Captain,Assassin,5,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,5,2,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,5,3,ACTION,,,,,win,7,Steal
Captain,Assassin,5,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,5,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,5,3,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,5,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,5,3,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,5,4,ACTION,,,,,win,7,Steal
Captain,Assassin,5,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,5,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,5,4,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,5,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,5,5,ACTION,,,,,loss,7,Steal
Captain,Assassin,5,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,5,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,5,5,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,5,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,5,6,ACTION,,,,,loss,7,Steal
Captain,Assassin,5,6,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,5,6,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,5,6,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,5,6,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,5,7,ACTION,,,,,loss,7,Steal
Captain,Assassin,5,7,BLOCK,Foreign Aid,opponent,,,loss,6,pass
Captain,Assassin,5,8,ACTION,,,,,loss,7,Steal
Captain,Assassin,5,8,BLOCK,Foreign Aid,opponent,,,loss,6,pass
Captain,Assassin,5,9,ACTION,,,,,loss,5,Steal
Captain,Assassin,5,9,BLOCK,Foreign Aid,opponent,,,loss,6,pass
Captain,Assassin,5,10,ACTION,,,,,loss,5,Steal
Captain,Assassin,5,11,ACTION,,,,,loss,5,Steal
Captain,Assassin,6,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,6,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,6,0,BLOCK,Foreign Aid,opponent,,,win,6,pass
Captain,Assassin,6,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,1,ACTION,,,,,win,5,Income
Captain,Assassin,6,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,6,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,6,1,BLOCK,Foreign Aid,opponent,,,win,8,pass
Captain,Assassin,6,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,2,ACTION,,,,,win,5,Income
Captain,Assassin,6,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,6,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,6,2,BLOCK,Foreign Aid,opponent,,,win,8,pass
Captain,Assassin,6,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,2,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,3,ACTION,,,,,win,7,Steal
Captain,Assassin,6,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,6,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,6,3,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,6,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,3,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,4,ACTION,,,,,win,7,Steal
Captain,Assassin,6,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,6,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,6,4,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,6,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,4,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,5,ACTION,,,,,loss,7,Steal
Captain,Assassin,6,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,6,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,6,5,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,6,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,6,ACTION,,,,,loss,7,Steal
Captain,Assassin,6,6,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,6,6,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,6,6,BLOCK,Foreign Aid,opponent,,,loss,8,pass
Captain,Assassin,6,6,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,6,7,ACTION,,,,,loss,7,Steal
Captain,Assassin,6,7,BLOCK,Foreign Aid,opponent,,,loss,6,pass
Captain,Assassin,6,8,ACTION,,,,,loss,7,Steal
Captain,Assassin,6,8,BLOCK,Foreign Aid,opponent,,,loss,6,pass
Captain,Assassin,6,9,ACTION,,,,,loss,5,Steal
Captain,Assassin,6,9,BLOCK,Foreign Aid,opponent,,,loss,6,pass
Captain,Assassin,6,10,ACTION,,,,,loss,5,Steal
Captain,Assassin,6,11,ACTION,,,,,loss,5,Steal
Captain,Assassin,7,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,7,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,7,0,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,7,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,1,ACTION,,,,,win,2,Coup
Captain,Assassin,7,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,7,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,7,1,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,7,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,2,ACTION,,,,,win,2,Coup
Captain,Assassin,7,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,7,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,7,2,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,7,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,2,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,3,ACTION,,,,,win,2,Coup
Captain,Assassin,7,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,7,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,7,3,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,7,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,3,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,4,ACTION,,,,,win,2,Coup
Captain,Assassin,7,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,7,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,7,4,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,7,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,4,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,5,ACTION,,,,,win,2,Coup
Captain,Assassin,7,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,7,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,7,5,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,7,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,6,ACTION,,,,,win,2,Coup
Captain,Assassin,7,6,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,7,6,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,7,6,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,7,6,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,7,7,ACTION,,,,,win,2,Coup
Captain,Assassin,7,7,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,7,8,ACTION,,,,,win,2,Coup
Captain,Assassin,7,8,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,7,9,ACTION,,,,,win,2,Coup
Captain,Assassin,7,9,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,7,10,ACTION,,,,,win,2,Coup
Captain,Assassin,7,11,ACTION,,,,,win,2,Coup
Captain,Assassin,8,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,8,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,8,0,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,8,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,1,ACTION,,,,,win,2,Coup
Captain,Assassin,8,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,8,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,8,1,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,8,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,2,ACTION,,,,,win,2,Coup
Captain,Assassin,8,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,8,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,8,2,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,8,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,2,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,3,ACTION,,,,,win,2,Coup
Captain,Assassin,8,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,8,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,8,3,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,8,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,3,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,4,ACTION,,,,,win,2,Coup
Captain,Assassin,8,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,8,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,8,4,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,8,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,4,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,5,ACTION,,,,,win,2,Coup
Captain,Assassin,8,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,8,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,8,5,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,8,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,6,ACTION,,,,,win,2,Coup
Captain,Assassin,8,6,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,8,6,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,8,6,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,8,6,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,8,7,ACTION,,,,,win,2,Coup
Captain,Assassin,8,7,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,8,8,ACTION,,,,,win,2,Coup
Captain,Assassin,8,8,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,8,9,ACTION,,,,,win,2,Coup
Captain,Assassin,8,9,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,8,10,ACTION,,,,,win,2,Coup
Captain,Assassin,8,11,ACTION,,,,,win,2,Coup
Captain,Assassin,9,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,9,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,9,0,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,9,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,1,ACTION,,,,,win,2,Coup
Captain,Assassin,9,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,9,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,9,1,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,9,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,2,ACTION,,,,,win,2,Coup
Captain,Assassin,9,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,9,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,9,2,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,9,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,2,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,3,ACTION,,,,,win,2,Coup
Captain,Assassin,9,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,9,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,9,3,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,9,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,3,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,4,ACTION,,,,,win,2,Coup
Captain,Assassin,9,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,9,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,9,4,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,9,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,4,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,5,ACTION,,,,,win,2,Coup
Captain,Assassin,9,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,9,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,9,5,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,9,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,6,ACTION,,,,,win,2,Coup
Captain,Assassin,9,6,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,9,6,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,9,6,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,9,6,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,9,7,ACTION,,,,,win,2,Coup
Captain,Assassin,9,7,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,9,8,ACTION,,,,,win,2,Coup
Captain,Assassin,9,8,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,9,9,ACTION,,,,,win,2,Coup
Captain,Assassin,9,9,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,9,10,ACTION,,,,,win,2,Coup
Captain,Assassin,9,11,ACTION,,,,,win,2,Coup
Captain,Assassin,10,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,10,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,10,0,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,10,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,10,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,10,1,ACTION,,,,,win,2,Coup
Captain,Assassin,10,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Captain,Assassin,10,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Captain,Assassin,10,1,BLOCK,Foreign Aid,opponent,,,win,3,pass
Captain,Assassin,10,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Captain
Captain,Assassin,10,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Captain
Captain,Assassin,10,2,ACTION,,,,,win,2,Coup
